Айсинг	2.3	0.0	78.8	305
Пахлава Muharram Дюрум	Пахлава Muharram Дюрум	4.5	17.5	46.0	343
Печенье	Печенье	7.5	11.8	74.9	417
Печенье Oreo Chocolate Cream	Печенье Oreo Chocolate Cream	5.9	20.6	66.5	475
Печенье Oreo Original	Печенье Oreo Original	4.9	20.8	68.0	478
Печенье Wagon Wheels	Печенье Wagon Wheels	5.1	15.6	66.9	431
Печенье Анзак	Печенье Анзак	5.4	21.4	53.6	415
Печенье Грибочки	Печенье Грибочки	3.6	7.9	69.6	367
Печенье Деревенское	8.1	26.8	57.8	444
Печенье Кокосанка	Печенье Кокосанка	7.0	22.7	64.2	479
Печенье Крекер	Печенье Крекер	11.3	13.4	67.1	352
Печенье Курабье	Печенье Курабье	6.7	25.8	64.6	516
Печенье Любятово Мария традиционное	Печенье Любятово Мария традиционное	8.0	9.5	72.0	410
Печенье Маркиза	Печенье Маркиза	7.3	29.3	68.9	568
Печенье миндальное	Печенье миндальное	7.0	22.7	64.7	486
Печенье овсяное	Печенье овсяное	6.5	14.4	71.8	437
Печенье овсяное Хлебный Спас Злаковое ассорти на фруктозе	Печенье овсяное Хлебный Спас Злаковое ассорти на фруктозе	6.5	19.5	60.0	440
Печенье Подружки Печенюшки сахарное	Печенье Подружки Печенюшки сахарное	8.0	9.0	73.0	410
Печенье Посиделкино овсяное с шоколадными кусочками	Печенье Посиделкино овсяное с шоколадными кусочками	5.8	17.6	70.1	436
Печенье с ароматом топленого молока	Печенье с ароматом топленого молока	7.2	26.5	63.0	519
Печенье Савоярди	Печенье Савоярди	8.5	3.8	76.6	378
Печенье сдобное	Печенье сдобное	10.4	5.2	76.8	458
Печенье Слоёные ушки	Печенье Слоёные ушки	6.4	29.0	57.0	520
Печенье Спартак с фруктозой	Печенье Спартак с фруктозой	8.5	17.4	64.6	450
Печенье Три-О Акконд пломбир	Печенье Три-О Акконд пломбир	4.5	17.0	67.0	439
Печенье Хворост	Печенье Хворост	8.8	3.7	42.5	283
Печенье Шакер бура	Печенье Шакер бура	5.7	21.0	31.0	335
Печенье Шакер чурек	Печенье Шакер чурек	5.0	19.8	49.9	416
Печенье Юбилейное традиционное	Печенье Юбилейное традиционное	7.6	19.5	65.5	465
Печенье Юбилейное утреннее с какао	Печенье Юбилейное утреннее с какао	8.8	17.1	70.0	447
Пирог Сдобная особа Завитушка Сливочный мусс и шоколад	Пирог Сдобная особа Завитушка Сливочный мусс и шоколад	5.4	16.0	53.0	380
Пирог Сдобная особа Завитушка Шоколад и орех	Пирог Сдобная особа Завитушка Шоколад и орех	7.0	21.0	47.0	400
Пирог Сдобная особа с начинкой абрикос	Пирог Сдобная особа с начинкой абрикос	4.3	13.8	59.1	378
Пирог Сдобная особа с начинкой вишня	Пирог Сдобная особа с начинкой вишня	4.0	14.1	56.3	370
Пирог Сдобная особа с начинкой голубика	Пирог Сдобная особа с начинкой голубика	4.3	13.8	59.1	378
Пирог Сдобная особа с начинкой клубника	Пирог Сдобная особа с начинкой клубника	4.3	13.6	59.0	376
Пирожное Choco Pie Lotte	Пирожное Choco Pie Lotte	4.0	18.0	64.9	438
Пирожное Choco-Pie	Пирожное Choco-Pie	3.6	16.1	70.9	430
Пирожное Kinder Delice с молочной начинкой	Пирожное Kinder Delice с молочной начинкой	5.9	29.0	42.6	455
Пирожное Kinder молочный ломтик	Пирожное Kinder молочный ломтик	8.2	27.9	34.0	420
Пирожное Konti Timi с малиной и сливками	Пирожное Konti Timi с малиной и сливками	4.5	14.0	62.0	370
Пирожное Воздушное	Пирожное Воздушное	3.1	16.3	68.5	419
Пирожное Йогуртовое	Пирожное Йогуртовое	7.0	24.6	26.1	352
Пирожное Кармен	Пирожное Кармен	2.9	19.4	52.8	390
Пирожное Картошка с карамельной начинкой	Пирожное Картошка с карамельной начинкой	3.7	20.0	47.6	355
Пирожное Картошка с кремом	Пирожное Картошка с кремом	4.3	19.7	48.9	392
Пирожное Коктейль	Пирожное Коктейль	2.0	13.8	59.5	384
Пирожное Корзиночка крем-брюле	Пирожное Корзиночка крем-брюле	2.8	21.5	46.2	392
Пирожное Корзиночка с белковым кремом	Пирожное Корзиночка с белковым кремом	1.9	13.7	59.3	372
Пирожное Корзиночка с грибочками	Пирожное Корзиночка с грибочками	1.0	27.5	54.9	461
Пирожное Корзиночка с клубничкой	Пирожное Корзиночка с клубничкой	1.2	22.4	55.8	434
Пирожное Корзиночка с фруктами	Пирожное Корзиночка с фруктами	0.8	17.3	42.5	380
Пирожное Корзиночка со сливками и конфитюром	Пирожное Корзиночка со сливками и конфитюром	0.7	18.7	48.4	365
Пирожное Медвежонок Барни с шоколадной начинкой	Пирожное Медвежонок Барни с шоколадной начинкой	5.8	15.2	59.1	390
Пирожное Орешек	Пирожное Орешек	5.8	16.5	49.1	397
Пирожное Песочное кольцо с орехами	Пирожное Песочное кольцо с орехами	4.8	9.2	55.3	420
Пирожное Полено	Пирожное Полено	4.8	22.2	47.1	368
Пирожное Творожное кольцо	Пирожное Творожное кольцо	11.2	16.7	24.8	326
Пирожное Трубочка с кремом	Пирожное Трубочка с кремом	1.7	25.2	50.9	454
Пирожное Эклер с кремом	Пирожное Эклер с кремом	3.2	30.8	36.2	439
Пирожок песочный с повидлом	Пирожок песочный с повидлом	5.9	21.1	56.3	437
Пишмание	Пишмание	3.3	12.0	83.3	455
Повидло абрикосовое	Повидло абрикосовое	0.3	0.0	64.0	242
Повидло апельсиновое	Повидло апельсиновое	0.5	0.1	41.5	254
Повидло вишневое	Повидло вишневое	0.5	0.1	95.4	250
Повидло грушевое	Повидло грушевое	0.1	0.1	56.8	215
Повидло из киви	Повидло из киви	0.2	0.3	35.4	136
Повидло из крыжовника	Повидло из крыжовника	1.0	0.0	46.0	181
Повидло из чёрной смородины	Повидло из чёрной смородины	1.0	0.0	73.0	284
Повидло клубничное	Повидло клубничное	0.5	0.1	61.5	244
Повидло малиновое	Повидло малиновое	0.0	0.0	57.1	231
Повидло сливовое	Повидло сливовое	0.6	0.5	73.6	285
Повидло яблочное	Повидло яблочное	0.4	0.0	40.0	190
Подушечки 365 дней с молочной начинкой	Подушечки 365 дней с молочной начинкой	7.0	15.0	68.0	435
Подушечки 365 дней с шоколадной начинкой	Подушечки 365 дней с шоколадной начинкой	7.5	17.0	59.0	420
Подушечки ХРУСтепка шоколадные с кремовой начинкой	Подушечки ХРУСтепка шоколадные с кремовой начинкой	8.6	31.0	85.6	615
Подушечки хрустящие с молочной начинкой	Подушечки хрустящие с молочной начинкой	7.6	15.5	66.2	435
Пражский пай Сдобная особа земляника	Пражский пай Сдобная особа земляника	4.7	18.0	54.5	398
Пражский пай Сдобная особа карамель	Пражский пай Сдобная особа карамель	4.9	19.5	55.7	424
Пражский пай Сдобная особа шоколадно-ореховый	Пражский пай Сдобная особа шоколадно-ореховый	5.1	19.0	55.0	418
Профитроли	Профитроли	9.6	16.0	18.7	253
Пряник Тульский	Пряник Тульский	5.8	6.5	71.6	364
