Аньолотти	10.0	1.1	71.5	344
Спагетти	Спагетти	10.4	1.1	71.5	344
Спагетти Buitoni Spaghetti Lunghi	Спагетти Buitoni Spaghetti Lunghi	11.5	1.7	71.8	350
Спагетти Myllyn Paras	Спагетти Myllyn Paras	10.4	1.1	71.5	344
Спагетти из киноа цельнозерновые	Спагетти из киноа цельнозерновые	5.4	1.8	76.8	359
Спагетти Ширатаки	Спагетти Ширатаки	0.0	0.0	0.6	9
Спагетти Ширатаки Diet-Food	Спагетти Ширатаки Diet-Food	0.2	0.0	5.0	8
Спагеттини	Спагеттини	11.2	1.6	68.4	333
Спираль Myllyn Paras	Спираль Myllyn Paras	10.4	1.1	71.5	344
Тальятелле	Тальятелле	21.7	2.2	63.3	374
Фарфалле	Фарфалле	10.4	1.1	71.5	344
Фетучини	Фетучини	14.1	4.4	67.6	384
Фунчоза	Фунчоза	0.7	0.5	84.0	320
Фунчоза Sen Soy	Фунчоза Sen Soy	1.5	0.0	83.0	340
Чипетке	Чипетке	7.9	1.4	50.6	234
