Агар пищевой	4.0	    0.0	    76.0	301
Петрушка сушеная	Петрушка сушеная	22.4	4.4	21.2	276
Посыпка кондитерская	Посыпка кондитерская	4.6	10.2	73.9	395
Приправа Gallina Blanca 15 овощей	Приправа Gallina Blanca 15 овощей	9.5	2.5	31.5	187
Приправа Gallina Blanca 15 трав и специй	Приправа Gallina Blanca 15 трав и специй	11.7	1.7	29.0	178
Приправа Gallina Blanca Универсальная	Приправа Gallina Blanca Универсальная	7.8	0.7	12.8	89
Приправа Kamis Прованские травы	Приправа Kamis Прованские травы	15.5	6.5	20.9	204
Приправа Kamis Томаты базилик и чеснок	Приправа Kamis Томаты базилик и чеснок	14.0	1.0	54.0	310
Приправа Kamis Травы Сицилии	Приправа Kamis Травы Сицилии	15.0	3.0	36.0	280
Приправа Knorr Ароматная для борща	Приправа Knorr Ароматная для борща	8.5	7.0	36.0	241
Приправа Knorr Ароматная для мяса	Приправа Knorr Ароматная для мяса	6.0	2.0	25.5	144
Приправа Knorr Ароматная для рыбы	Приправа Knorr Ароматная для рыбы	5.5	4.0	59.0	294
Приправа Knorr Ароматная Классика овощей	Приправа Knorr Ароматная Классика овощей	8.0	1.5	23.0	138
Приправа Knorr Бульон говяжий Душа обеда	Приправа Knorr Бульон говяжий Душа обеда	6.6	4.6	3.9	83
Приправа Knorr Бульон куриный Душа обеда	Приправа Knorr Бульон куриный Душа обеда	6.6	6.5	4.6	103
Приправа Knorr Секрет сациви	Приправа Knorr Секрет сациви	6.0	6.5	55.0	307
Приправа Kotanyi для салата Цезарь	Приправа Kotanyi для салата Цезарь	3.7	2.7	69.0	327
Приправа Kotanyi Кавказские травы	17.2	4.4	27.1	253
Приправа Maggi Cупер весенняя зелень	Приправа Maggi Cупер весенняя зелень	0.8	2.6	11.9	75
Приправа Maggi Букет приправ для курицы	Приправа Maggi Букет приправ для курицы	6.2	2.2	23.9	144
Приправа Maggi Говяжий бульон на косточке	Приправа Maggi Говяжий бульон на косточке	3.8	9.8	28.1	218
Приправа Maggi Дары природы	Приправа Maggi Дары природы	4.7	8.8	32.8	231
Приправа Maggi Душистый пучок	Приправа Maggi Душистый пучок	1.2	5.4	14.2	111
Приправа Maggi Зажарка из лука и моркови	Приправа Maggi Зажарка из лука и моркови	3.8	11.5	36.9	267
