Тиляпия (филе)	Тиляпия (филе)	20.8	1.7	0.0	96
Тиляпия жареная	Тиляпия жареная	26.1	2.6		128
Толстолобик белый свежий	19.5	0.9	0.2	86
Толстолобик маринованный	Толстолобик маринованный	9.9	10.3	3.3	146
Трепанг	Трепанг	7.3	0.6	0.0	34
Трепанг варёный	Трепанг варёный	9.0	0.7		42
Трепанг жареный	Трепанг жареный	9.0	0.7		41
Треска (печень в масле)	Треска (печень в масле)	4.2	65.7	1.2	613
Треска (печень натуральная Беринг)	Треска (печень натуральная Беринг)	9.0	43.0	1.0	400
Треска горячего копчения	Треска горячего копчения	26.0	1.2		115
Треска жареная	Треска жареная	23.0	0.1		111
Треска запечённая	Треска запечённая	6.0	3.7	8.0	90
Треска консервированная	Треска консервированная	22.7	0.9	0.0	105
Треска копченая	Треска копченая	22.1	0.5		94
Треска Меридиан филе-кусок отварная в желе	Треска Меридиан филе-кусок отварная в желе	14.0	2.0	0.0	75
Треска отварная	Треска отварная	17.8	0.7		78
Треска с гриля	Треска с гриля	22.1	9.1	0.6	172
Треска свежая	Треска свежая	17.7	0.7		78
Треска соленая	Треска соленая	23.1	0.6		98
Треска тушеная	Треска тушеная	9.7	5.1	3.9	101
