Ангурия (Антильский огурец)	1.8	1.3	7.6	44
Салат кочанный	Салат кочанный	0.9	0.1	1.8	14
Салат Лолло Росса	Салат Лолло Росса	1.5	0.2	2.0	16
Салат Мицуна	Салат Мицуна	2.0	0.2	1.5	16
Салат Оаклиф	Салат Оаклиф	1.5	0.2	2.0	16
Салат Полевой	Салат Полевой	1.1	0.0	3.5	23
Салат Радичио	Салат Радичио	1.5	0.2	3.3	20
Салат Романо	1.8	1.1	2.7	17
Салат Фризе	Салат Фризе	1.5	0.0	2.2	14
Салат Фриллис Выборжец свежий	Салат Фриллис Выборжец свежий	2.0	0.1	7.0	37
Салат-коктейль Бондюэль Гавайский маринованный	Салат-коктейль Бондюэль Гавайский маринованный	1.7	0.5	20.0	91
Салат-коктейль Бондюэль Сомбреро	Салат-коктейль Бондюэль Сомбреро	1.7	0.8	11.9	62
Салатный микс Солнечная фазенда Каталония	Салатный микс Солнечная фазенда Каталония	1.8	0.2	5.9	34
Салаты Белая Дача Baby Mix	Салаты Белая Дача Baby Mix	1.5	0.2	2.3	17
Салаты Белая Дача Girls Mix	Салаты Белая Дача Girls Mix	1.5	0.2	2.3	17
Салаты Белая Дача Mens Mix	Салаты Белая Дача Mens Mix	1.5	0.2	2.3	17
Салаты Белая Дача Party Mix	Салаты Белая Дача Party Mix	1.5	0.2	2.3	17
Салаты Белая Дача Tango Mix	Салаты Белая Дача Tango Mix	1.5	0.2	2.3	17
Салаты Белая Дача Tango Mix World Class	Салаты Белая Дача Tango Mix World Class	1.5	0.2	2.0	16
Салаты Белая Дача Vita Mix	Салаты Белая Дача Vita Mix	1.5	0.2	2.3	17
Салаты Белая Дача Vita Mix World Class	Салаты Белая Дача Vita Mix World Class	1.8	0.2	3.8	24
Салаты Белая Дача Аликанте	Салаты Белая Дача Аликанте	1.5	0.2	2.3	17
Салаты Белая Дача Ассорти	Салаты Белая Дача Ассорти	1.4	0.2	3.1	19
Салаты Белая Дача Афиша Еда	Салаты Белая Дача Афиша Еда	1.5	0.2	2.3	17
Салаты Белая Дача Весенний Микс	Салаты Белая Дача Весенний Микс	1.4	0.2	2.9	19
Салаты Белая Дача Две капусты с морковью	Салаты Белая Дача Две капусты с морковью	1.7	0.1	5.4	30
