Гюнику татаки	Гюнику татаки	12.8	2.6	6.8	102
Гютан терияки	Гютан терияки	11.0	22.5	14.1	223
Даси	Даси	5.0	0.0	30.0	120
Дорадо терияки	Дорадо терияки	9.9	5.7	3.4	105
Ика фурай	Ика фурай	8.2	4.6	10.0	115
Кани гуриру	Кани гуриру	7.0	11.6	17.2	201
Кани муни	Кани муни	6.1	5.8	11.0	121
Караса кани	Караса кани	10.1	1.0	9.0	85
Кимучи	Кимучи	1.4	0.7	8.4	45
Кинси маки	Кинси маки	8.5	18.0	2.4	210
Мисо	Мисо	12.3	5.5	24.6	197
Насу тёмире	Насу тёмире	2.9	4.5	7.4	82
Нинику эби	Нинику эби	8.2	13.4	5.8	177
Огава аки	Огава аки	18.8	5.1	10.2	162
Основа для рыбного бульона ХонДаши	Основа для рыбного бульона ХонДаши	22.0	1.0	32.3	226
Ролл Авокадо	Ролл Авокадо	2.0	1.3	21.2	105
Ролл Аляска	Ролл Аляска	4.2	2.7	12.2	90
Ролл Ацуй маки	Ролл Ацуй маки	5.8	5.7	15.5	137
Ролл Беруто дайкон	Ролл Беруто дайкон	0.3	0.4	23.4	99
Ролл Бутанику кимути	Ролл Бутанику кимути	5.1	6.9	15.2	144
Ролл Гейша маки	Ролл Гейша маки	5.7	7.2	17.4	158
Ролл Дзитаку	Ролл Дзитаку	6.4	6.1	16.8	148
Ролл Дракон маки	Ролл Дракон маки	4.8	11.4	16.7	189
Ролл Инари спайси	Ролл Инари спайси	6.0	4.8	13.8	123
Ролл Кагувасэ	Ролл Кагувасэ	7.2	6.5	20.9	171
Ролл Кадзи сякэ	Ролл Кадзи сякэ	6.5	5.9	15.8	142
Ролл Калифорния	Ролл Калифорния	7.0	8.8	17.2	176
Ролл Кани хината	Ролл Кани хината	4.4	6.2	12.7	124
Ролл Каппа маки	Ролл Каппа маки	1.7	0.7	19.2	90
Ролл Каруй	Ролл Каруй	0.1	0.3	10.8	46
Ролл Киото	Ролл Киото	8.4	6.3	16.0	155
Ролл Кирои	Ролл Кирои	4.8	8.3	16.3	159
Ролл Кунсэй батакон	Ролл Кунсэй батакон	8.3	8.9	15.1	174
Ролл Манацуби	Ролл Манацуби	4.5	3.4	12.6	99
Ролл Масиро дайкон	Ролл Масиро дайкон	2.3	2.0	11.1	71
Ролл Мидори сякэ	Ролл Мидори сякэ	9.8	6.5	13.5	152
Ролл Овара	Ролл Овара	6.5	5.9	15.8	143
Ролл Окинава	Ролл Окинава	5.8	4.8	18.0	139
Ролл Радуга	Ролл Радуга	3.5	2.4	17.3	105
Ролл Рок-н-ролл	Ролл Рок-н-ролл	5.3	5.6	16.5	138
Ролл Супайсу тэмпура	Ролл Супайсу тэмпура	8.5	6.7	16.5	160
Ролл Сякэ	Ролл Сякэ	6.8	2.7	19.3	128
Ролл Сякэ кунсей маки	Ролл Сякэ кунсей маки	6.0	5.5	18.1	146
Ролл Сякэ унаги маки	Ролл Сякэ унаги маки	8.5	7.1	13.1	150
Ролл Тамаго маки	Ролл Тамаго маки	7.0	7.0	13.5	145
Ролл Тануки	Ролл Тануки	9.7	11.5	14.4	201
Ролл Тануки фурай маки	Ролл Тануки фурай маки	5.5	6.6	18.2	154
Ролл Тори ясай	Ролл Тори ясай	6.5	8.3	5.6	160
Ролл Тэкка маки	Ролл Тэкка маки	2.8	1.7	19.2	105
Ролл Тэмпура	Ролл Тэмпура	6.1	3.6	18.0	129
Ролл Унаги	Ролл Унаги	5.3	8.3	19.2	173
Ролл Унаги кани	Ролл Унаги кани	9.8	18.0	19.2	277
Ролл Унаги тидзу	Ролл Унаги тидзу	10.9	8.4	11.6	165
Ролл Унаги урамаки	Ролл Унаги урамаки	6.1	7.5	15.0	152
Ролл Филадельфия	Ролл Филадельфия	9.7	6.7	10.8	142
Ролл Харумаки	Ролл Харумаки	14.4	15.2	11.9	242
Ролл Цукини маки	Ролл Цукини маки	1.1	5.9	7.5	87
Ролл Чидори	Ролл Чидори	8.5	8.0	14.3	163
Ролл Эби каиган	Ролл Эби каиган	5.7	2.8	17.8	120
Сакана кимчи	Сакана кимчи	6.5	3.0	10.6	96
Сан химаго	Сан химаго	10.1	7.6	11.2	154
Сарада Бито	Сарада Бито	1.8	0.6	14.4	70
Сарада Вакамэ су	Сарада Вакамэ су	1.8	1.1	7.2	47
Сарада Гюнику	Сарада Гюнику	17.8	6.0	3.9	140
Сарада Ицаку	Сарада Ицаку	5.9	9.2	9.3	143
Сарада Кайсо	Сарада Кайсо	1.7	2.4	10.8	71
Сарада Киноки	Сарада Киноки	6.7	9.0	3.5	122
Сарада Мидори	Сарада Мидори	1.3	1.2	4.2	33
Сарада Мояши	Сарада Мояши	1.4	2.2	6.0	49
Сарада Рэтасу эби	Сарада Рэтасу эби	6.5	4.7	16.0	132
Сарада Сяке-Кунсэно	Сарада Сяке-Кунсэно	9.8	18.0	1.9	208
Сарада Тако беби	Сарада Тако беби	3.0	1.4	8.6	60
Сарада Тори но маринадо	Сарада Тори но маринадо	1.4	5.3	12.4	143
Сарада Тори-Кунсэно	Сарада Тори-Кунсэно	10.0	5.7	15.0	164
Сарада Харусамэ	Сарада Харусамэ	1.2	4.6	7.6	109
Сарада Хияши вакамэ	Сарада Хияши вакамэ	1.3	5.2	10.2	92
Сарада Шиитакэ ремонэ	1.7	0.3	15.5	73
Сарада Эби уми	Сарада Эби уми	5.0	0.8	20.6	110
Сарада Югатами хару	Сарада Югатами хару	7.3	4.0	8.7	100
Сашими Изуми-тай	Сашими Изуми-тай	11.6	2.2	1.1	71
Сашими Ика	Сашими Ика	11.3	1.5	1.3	63
Сашими Икура	Сашими Икура	10.6	3.5	1.1	80
Сашими Магуро	Сашими Магуро	15.3	2.8	1.1	91
Сашими Сякэ	Сашими Сякэ	12.5	5.0	1.1	73
Сашими Тако	Сашими Тако	5.6	1.2	1.1	37
Сашими Тобико	Сашими Тобико	9.4	3.3	1.5	72
